City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hermanus,-34.4187,19.2345,16.42,70,0,3.68,ZA,1681686310
84,talnakh,69.4865,88.3972,-22.11,83,16,0.55,RU,1681686322
85,aswan,24.0934,32.907,25.61,13,0,5.14,EG,1681686349
86,qaanaaq,77.484,-69.3632,-16.47,84,4,1.95,GL,1681686532
87,petrolina de goias,-16.095,-49.3381,24.61,84,93,1.73,BR,1681686360
88,hasaki,35.7333,140.8333,12.94,81,99,7.92,JP,1681686337
89,itaituba,-4.2761,-55.9836,24.25,97,100,0.79,BR,1681686533
90,tessalit,20.1986,1.0114,26.86,7,0,3.85,ML,1681686453
91,nyagan,62.1406,65.3936,-24.38,100,15,1.4,RU,1681686534
92,cape town,-33.9258,18.4232,17.99,81,0,4.02,ZA,1681686534
93,the valley,18.217,-63.0578,26.57,78,40,3.09,AI,1681686317
94,longyearbyen,78.2186,15.6401,2.91,81,75,6.17,SJ,1681686319
95,khatanga,71.9667,102.5,-11.18,94,100,5.59,RU,1681686535
96,victoria,22.2855,114.1577,25.18,87,3,2.24,HK,1681686410
97,sola,-13.8833,167.55,27.85,73,92,6.38,VU,1681686072
98,coihaique,-45.5752,-72.0662,5.97,75,75,2.06,CL,1681686535
99,norman wells,65.282,-126.8329,-1.65,84,100,2.08,CA,1681686518
100,houma,29.5958,-90.7195,21.67,46,0,5.14,US,1681686536
101,dajal,29.5577,70.3762,29.24,26,61,5.07,PK,1681686536
102,itarema,-2.9248,-39.9167,28.28,76,100,5.79,BR,1681686536
103,mogadishu,2.0371,45.3438,28.24,70,97,3.89,SO,1681686113
104,port blair,11.6667,92.75,27.79,71,100,2.28,IN,1681686529
105,padang,-0.9492,100.3543,25.46,84,100,1.22,ID,1681686537
106,samarai,-10.6167,150.6667,27.58,70,100,1.53,PG,1681686537
107,altay,47.8667,88.1167,0.99,55,25,2.78,CN,1681686318
108,tiksi,71.6872,128.8694,-15.95,98,100,2.09,RU,1681686345
109,abu kamal,34.4506,40.9171,20.89,32,2,1.93,SY,1681686538
110,bredasdorp,-34.5322,20.0403,13.73,87,0,1.77,ZA,1681686294
111,albany,42.6001,-73.9662,21.68,63,69,0.89,US,1681686093
112,rawson,-43.3002,-65.1023,13.33,58,15,8.47,AR,1681686538
113,guaraniacu,-25.1008,-52.8781,18.78,98,72,1.59,BR,1681686539
114,mar del plata,-38.0023,-57.5575,13.38,70,46,0.45,AR,1681686405
115,solnechnyy,50.7214,136.6319,-1.22,74,81,3.73,RU,1681686516
116,emerald,-23.5333,148.1667,21.3,80,71,7.8,AU,1681686389
117,dikson,73.5069,80.5464,-19.41,100,100,4.04,RU,1681686435
118,jamestown,42.097,-79.2353,24.8,41,75,4.12,US,1681685664
119,camacha,33.0833,-16.3333,15.68,77,40,5.14,PT,1681686540
120,san patricio,28.017,-97.5169,26.15,33,0,6.09,US,1681686403
121,kodiak,57.79,-152.4072,0.99,95,97,5.46,US,1681686136
122,caraballeda,10.6112,-66.8522,27.04,83,75,1.54,VE,1681686315
123,naze,28.3667,129.4833,18.79,72,25,2.46,JP,1681686541
124,sao filipe,14.8961,-24.4956,24.46,75,28,4.04,CV,1681686541
125,bosaso,11.2842,49.1816,27.21,77,3,1.72,SO,1681686173
126,faanui,-16.4833,-151.75,27.33,73,6,2.45,PF,1681686541
127,umm kaddadah,13.6017,26.6876,28.73,11,63,8.61,SD,1681686542
128,kerema,-7.9631,145.7785,29.73,66,78,0.65,PG,1681686546
129,kudahuvadhoo,2.6708,72.8944,27.83,73,51,0.99,MV,1681686547
130,cabo san lucas,22.8909,-109.9124,28.17,36,0,5.14,MX,1681686241
131,mitsamiouli,-11.3847,43.2844,28.43,70,56,1.93,KM,1681686548
132,el juncal,15.45,-86.4333,30.74,51,5,2.59,HN,1681686552
133,tarakan,3.3,117.6333,25.72,94,20,2.06,ID,1681686554
134,chokurdakh,70.6333,147.9167,-14.67,93,45,1.25,RU,1681686564
135,kibala,9.1104,18.3463,29.14,47,57,3.49,TD,1681686575
136,paragominas,-2.9667,-47.4833,23.34,95,89,1.41,BR,1681686458
137,vostok,46.4856,135.8833,0.89,55,100,1.62,RU,1681686586
138,upernavik,72.7868,-56.1549,-15.06,98,99,3.95,GL,1681686461
139,tuatapere,-46.1333,167.6833,16.13,68,85,2.57,NZ,1681686594
140,tocopilla,-22.092,-70.1979,20.71,78,11,6.32,CL,1681686594
141,omsukchan,62.5333,155.8,-5.79,91,100,1.47,RU,1681686594
142,torbay,47.6666,-52.7314,0.77,85,65,2.29,CA,1681686597
143,castro,-24.7911,-50.0119,16.73,95,17,1.96,BR,1681686598
144,clyde river,70.4692,-68.5914,-18.96,84,0,3.05,CA,1681686598
145,manaure,11.7751,-72.4445,29.03,62,93,7.14,CO,1681686599
146,lensk,60.7253,114.9278,-11.86,80,10,3.59,RU,1681686531
147,rocha,-34.4833,-54.3333,13.18,68,100,1.98,UY,1681686599
148,muswellbrook,-32.2667,150.9,19.63,51,0,1.66,AU,1681686600
149,helena,46.5927,-112.0361,18.55,20,0,8.23,US,1681686600
150,merauke,-8.4667,140.3333,26.91,87,59,1.19,ID,1681686517
151,hithadhoo,-0.6,73.0833,28.49,69,79,1.78,MV,1681686292
152,balaipungut,1.05,101.2833,24.11,94,99,0.89,ID,1681686601
153,severo-kurilsk,50.6789,156.125,1.42,97,100,14.47,RU,1681686606
154,dickinson,29.4608,-95.0513,25.08,32,0,6.17,US,1681686608
155,saskylakh,71.9167,114.0833,-12.49,95,100,5.07,RU,1681686609
156,zapolyarnyy,69.4154,30.8136,0.6,94,53,3.61,RU,1681686613
157,grand gaube,-20.0064,57.6608,24.1,81,28,0.45,MU,1681686614
158,dingle,10.9995,122.6711,26.62,82,24,1.37,PH,1681686615
159,severodvinsk,64.5635,39.8302,-3.94,96,64,1.89,RU,1681686620
160,bodden town,19.2833,-81.25,29.0,75,20,3.09,KY,1681686623
161,pangnirtung,66.1451,-65.7125,-11.83,99,100,0.96,CA,1681686623
162,portel,-1.9356,-50.8211,24.57,94,88,0.98,BR,1681686623
163,saldanha,-33.0117,17.9442,15.76,77,0,4.37,ZA,1681686470
164,maragogi,-9.0122,-35.2225,26.41,83,44,3.66,BR,1681686625
165,marawi,7.9986,124.2928,22.38,86,40,0.48,PH,1681686625
166,jining,35.405,116.5814,14.26,54,59,6.94,CN,1681686626
167,peleduy,59.6289,112.7406,-13.33,89,27,1.52,RU,1681686634
168,skibbereen,51.55,-9.2667,10.62,97,73,3.03,IE,1681686258
169,havre-saint-pierre,50.2334,-63.5986,1.86,73,100,2.01,CA,1681686488
170,hamamatsu,34.7,137.7333,13.79,55,4,9.05,JP,1681686638
171,taoudenni,22.6783,-3.9836,30.24,7,0,2.13,ML,1681686639
172,narsaq,60.9167,-46.05,9.12,63,60,5.58,GL,1681686543
173,tasiilaq,65.6145,-37.6368,2.09,82,100,5.1,GL,1681686467
174,terre-de-bas,15.8501,-61.6442,25.73,73,23,4.38,GP,1681686643
175,asyut,27.181,31.1837,22.52,16,0,2.16,EG,1681686644
176,gunupur,19.0833,83.8167,29.12,51,16,0.7,IN,1681686382
177,saint pete beach,27.7253,-82.7412,27.33,72,0,2.57,US,1681686645
178,puerto ayora,-0.7393,-90.3518,27.53,89,100,0.89,EC,1681686300
179,fairview,40.8126,-73.999,19.97,75,0,4.12,US,1681686427
180,saint anthony,45.0205,-93.218,0.88,89,100,10.29,US,1681686454
181,along,28.1667,94.7667,19.16,74,10,1.2,IN,1681686646
182,rafraf,37.1904,10.1837,13.17,76,12,9.79,TN,1681686646
183,lucapa,-8.4192,20.7447,19.04,97,100,1.25,AO,1681686646
184,fort smith,35.3859,-94.3986,20.02,23,0,6.17,US,1681686647
185,santa rosa de cabal,4.8681,-75.6214,14.72,99,100,0.28,CO,1681686647
186,polunochnoye,60.8697,60.4153,-4.39,97,100,0.48,RU,1681686647
187,north branch,45.5113,-92.9802,1.66,90,100,6.71,US,1681686648
188,jagalur,14.5333,76.35,23.49,73,10,3.6,IN,1681686648
189,fortuna,40.5982,-124.1573,13.32,79,91,3.92,US,1681686648
190,rio grande,-32.035,-52.0986,20.06,88,100,5.37,BR,1681686097
191,beringovskiy,63.05,179.3167,-11.5,87,37,1.12,RU,1681686649
192,fairbanks,64.8378,-147.7164,0.33,62,75,5.14,US,1681686611
193,provideniya,64.3833,-173.3,-4.94,42,0,3.0,RU,1681686649
194,chalons-en-champagne,48.9539,4.3672,7.04,94,98,3.47,FR,1681686649
195,chuy,-33.6971,-53.4616,15.37,73,100,3.41,UY,1681686342
196,biak,-0.9131,122.8766,26.05,79,39,1.52,ID,1681686650
197,kristiinankaupunki,62.2743,21.376,-2.72,88,69,2.79,FI,1681686650
198,sandnessjoen,66.0217,12.6316,4.25,90,100,0.89,NO,1681686448
199,belyy yar,53.6039,91.3903,-7.06,73,0,1.0,RU,1681686651
200,olpad,21.3333,72.75,26.8,70,4,1.31,IN,1681686651
201,westport,41.1415,-73.3579,19.25,85,88,1.79,US,1681686651
202,port lincoln,-34.7333,135.8667,16.14,81,6,6.08,AU,1681686348
203,korla,41.7597,86.1469,14.78,38,94,3.73,CN,1681686652
204,little current,45.9793,-81.9248,14.67,86,77,3.71,CA,1681686578
205,alvorada,-12.48,-49.1247,25.45,83,65,0.64,BR,1681686652
206,agadir,30.4202,-9.5982,17.25,58,6,1.58,MA,1681686652
207,palembang,-2.9167,104.7458,24.05,94,75,1.54,ID,1681686653
208,boguchany,58.3814,97.4531,-10.73,97,87,1.51,RU,1681686480
209,zhigansk,66.7697,123.3711,-6.79,86,97,1.43,RU,1681686653
210,madang,-5.2246,145.7966,26.85,85,99,0.8,PG,1681686653
